fiscal_date,ticker,revenue,operating_income,net_income,total_assets,current_assets,current_liabilities,stockholders_equity,total_debt,operating_cash_flow,capital_expenditure,free_cash_flow,net_profit_margin,operating_margin,current_ratio,debt_to_assets,return_on_assets,revenue_growth_pct
2021-12-31,CVX,,,,,,,,,,,,,,,,,
2022-12-31,CVX,235717000000.0,39950000000.0,35465000000.0,257709000000.0,50343000000.0,34208000000.0,159282000000.0,23339000000.0,49602000000.0,-11974000000.0,37628000000.0,15.045584323574456,16.948289686361186,1.4716732927970066,0.0905633873865484,13.761645887415652,
2023-12-31,CVX,196913000000.0,26229000000.0,21369000000.0,261632000000.0,41128000000.0,32258000000.0,160957000000.0,20836000000.0,35609000000.0,-15829000000.0,19780000000.0,10.852000629719724,13.32009567677096,1.2749705499411,0.07963857632093933,8.167578889432486,-16.462113466572205
2024-12-31,CVX,193414000000.0,18917000000.0,17661000000.0,256938000000.0,40911000000.0,38558000000.0,152318000000.0,24541000000.0,31492000000.0,-16448000000.0,15044000000.0,9.131190089652248,9.780574312097366,1.0610249494268376,0.09551331449610412,6.873642668659365,-1.7769268661794846
2025-12-31,CVX,184432000000.0,16674000000.0,12299000000.0,324012000000.0,38552000000.0,33387000000.0,186450000000.0,40758000000.0,33939000000.0,-17347000000.0,16592000000.0,6.668582458575519,9.04073045892253,1.1547009315002845,0.12579163734676493,3.795847067392566,-4.643924431530289
2022-01-31,DELL,,,,,,,,,,,,,,,,,
2023-01-31,DELL,102301000000.0,5771000000.0,2442000000.0,89611000000.0,42351000000.0,51654000000.0,-3122000000.0,29588000000.0,3565000000.0,-3003000000.0,562000000.0,2.387073440142325,5.641196078239704,0.819897781391567,0.33018267846581334,2.725111872426376,
2024-01-31,DELL,88425000000.0,5933000000.0,3388000000.0,82126000000.0,35984000000.0,48354000000.0,-2227000000.0,25994000000.0,8676000000.0,-2756000000.0,5920000000.0,3.8314956177551593,6.7096409386485725,0.74417835132564,0.3165136497576894,4.125368336458612,-13.563894781087182
2025-01-31,DELL,95567000000.0,6656000000.0,4592000000.0,79746000000.0,36229000000.0,46527000000.0,-1482000000.0,24567000000.0,4521000000.0,-2652000000.0,1869000000.0,4.805005912082622,6.964747245388052,0.7786661508371483,0.30806560830637275,5.758282547087001,8.076901328809715
2026-01-31,DELL,113538000000.0,8446000000.0,5936000000.0,101286000000.0,57602000000.0,63269000000.0,-2470000000.0,31503000000.0,11185000000.0,-2633000000.0,8552000000.0,5.228205534710845,7.438919128397541,0.9104300684379396,0.31103015224216574,5.860632269020398,18.80460828528676
2022-01-31,NVDA,,,,,,,,,,,,,,,,,
2023-01-31,NVDA,26974000000.0,5577000000.0,4368000000.0,41182000000.0,23073000000.0,6563000000.0,22101000000.0,12031000000.0,5641000000.0,-1833000000.0,3808000000.0,16.193371394676355,20.6754652628457,3.515617857687033,0.29214219804769076,10.606575688407558,
2024-01-31,NVDA,60922000000.0,32972000000.0,29760000000.0,65728000000.0,44345000000.0,10631000000.0,42978000000.0,11056000000.0,28090000000.0,-1069000000.0,27021000000.0,48.84934834706674,54.121663766783755,4.171291505973097,0.16820837390457644,45.277507302823764,125.85452658115224
2025-01-31,NVDA,130497000000.0,81453000000.0,72880000000.0,111601000000.0,80126000000.0,18047000000.0,79327000000.0,9982000000.0,64089000000.0,-3236000000.0,60853000000.0,55.848027157712444,62.417526839697466,4.439851498864077,0.08944364297810951,65.30407433625147,114.20340763599354
2026-01-31,NVDA,215938000000.0,130387000000.0,120067000000.0,206803000000.0,125605000000.0,32163000000.0,157293000000.0,11040000000.0,102718000000.0,-6042000000.0,96676000000.0,55.60253406070261,60.38168363141272,3.905263812455306,0.05338413852797107,58.05863551302447,65.47353579009479
